,0
log_rank_ratio,1987
rank_ratio,1947
score_gap_ratio,1535
student_rank,1451
student_line_diff,1413
score_spread,1023
avg_score,941
line_diff,939
min_rank,822
is985_rank_ratio,764
min_score,686
score_line_est,671
province_code,512
uni_rank_log,475
rank_log_diff,363
year,181
rank_tier_interaction,166
year_norm,44
school_type_code,2
is_985,1
tier_code,0
is_dual_first_class,0
is_211,0
best_discipline,0
